Matrix,M,N,NZ,Mode,Threads,AvgTime(ms),MedianTime(ms),BestTime(ms),AvgGFlops,MedianGFlops,BestGFlops,Passed,Iterations
thermal1,82654,82654,574458,serial,1,0.818764,0.808713,0.806127,1.403232,1.420673,1.425230,1,5
thermal1,82654,82654,574458,ompCSR,33,0.175643,0.165942,0.150939,6.541192,6.923580,7.611791,1,5
thermal1,82654,82654,574458,ompHLL,33,0.356035,0.359157,0.179164,3.226973,3.198924,6.412650,1,5
thermal2,1228045,1228045,8580313,serial,1,17.165696,17.121271,16.907561,0.999705,1.002299,1.014968,1,5
thermal2,1228045,1228045,8580313,ompCSR,33,4.997348,4.978434,4.822047,3.433947,3.446993,3.558785,1,5
thermal2,1228045,1228045,8580313,ompHLL,33,8.284444,8.426048,7.379401,2.071428,2.036616,2.325477,1,5
thermomech_TK,102158,102158,711558,serial,1,1.102946,1.102754,1.100822,1.290286,1.290511,1.292776,1,5
thermomech_TK,102158,102158,711558,ompCSR,33,0.186914,0.190590,0.152672,7.613749,7.466900,9.321398,1,5
thermomech_TK,102158,102158,711558,ompHLL,33,0.455362,0.446563,0.282351,3.125239,3.186824,5.040236,1,5
webbase-1M,1000005,1000005,3105536,serial,1,6.303708,6.278034,6.228960,0.985304,0.989334,0.997128,1,5
webbase-1M,1000005,1000005,3105536,ompCSR,33,2.561901,2.546845,2.201579,2.424400,2.438732,2.821190,1,5
webbase-1M,1000005,1000005,3105536,ompHLL,33,64.768097,64.689260,58.938508,0.095897,0.096014,0.105382,1,5
west2021,2021,2021,7353,serial,1,0.008366,0.008293,0.008126,1.757833,1.773199,1.809742,1,5
west2021,2021,2021,7353,ompCSR,33,0.044713,0.044928,0.042771,0.328894,0.327327,0.343831,1,5
west2021,2021,2021,7353,ompHLL,33,0.070418,0.062354,0.053462,0.208840,0.235847,0.275074,1,5
adder_dcop_32,1813,1813,11246,serial,1,0.022300,0.022142,0.021480,1.008611,1.015809,1.047118,1,5
adder_dcop_32,1813,1813,11246,ompCSR,34,0.051157,0.049504,0.048849,0.439670,0.454352,0.460439,1,5
adder_dcop_32,1813,1813,11246,ompHLL,34,3.232145,3.191611,2.286677,0.006959,0.007047,0.009836,1,5
af_1_k101,503625,503625,17550675,serial,1,21.823705,21.812521,21.807251,1.608405,1.609229,1.609618,1,5
af_1_k101,503625,503625,17550675,ompCSR,34,9.551828,9.521225,9.153427,3.674831,3.686642,3.834777,1,5
af_1_k101,503625,503625,17550675,ompHLL,34,9.179703,9.466435,8.072508,3.823800,3.707980,4.348258,1,5
af23560,23560,23560,484256,serial,1,0.448416,0.445121,0.432246,2.159853,2.175842,2.240650,1,5
