Matrix,Mode,Threads,Speedup_Avg,Speedup_Median
thermal2,ompHLL,9,2.546190,2.545854
thermomech_TK,ompCSR,9,4.466146,4.519791
thermomech_TK,ompHLL,9,2.179153,2.230847
webbase-1M,ompCSR,9,1.976641,1.967657
webbase-1M,ompHLL,9,.086345,.087062
west2021,ompCSR,9,.463395,.462350
west2021,ompHLL,9,.139507,.149704
adder_dcop_32,ompCSR,10,.899627,.906473
adder_dcop_32,ompHLL,10,.009453,.009526
af_1_k101,ompCSR,10,3.470842,3.511052
af_1_k101,ompHLL,10,3.016409,3.028535
af23560,ompCSR,10,3.539979,3.492101
af23560,ompHLL,10,1.392896,1.380257
amazon0302,ompCSR,10,5.621209,5.989484
amazon0302,ompHLL,10,3.198945,3.195068
bcsstk17,ompCSR,10,3.503062,3.505861
bcsstk17,ompHLL,10,.217107,.215981
cage4,ompCSR,10,.009897,.008776
cage4,ompHLL,10,.009165,.008123
cant,ompCSR,10,2.919512,3.047610
cant,ompHLL,10,1.383535,1.412323
cavity10,ompCSR,10,2.705713,2.654386
cavity10,ompHLL,10,.274789,.308428
cop20k_A,ompCSR,10,3.418382,3.432285
cop20k_A,ompHLL,10,1.322737,1.313551
Cube_Coup_dt0,ompCSR,10,3.121913,3.192543
Cube_Coup_dt0,ompHLL,10,2.352665,2.314283
dc1,ompCSR,10,2.086451,2.158245
dc1,ompHLL,10,.005651,.005771
FEM_3D_thermal1,ompCSR,10,3.455584,3.610716
FEM_3D_thermal1,ompHLL,10,.998032,.979626
lung2,ompCSR,10,3.159723,3.128527
lung2,ompHLL,10,1.318884,1.431378
mac_econ_fwd500,ompCSR,10,3.717125,3.774990
mac_econ_fwd500,ompHLL,10,.330034,.323840
mcfe,ompCSR,10,1.362015,1.330397
mcfe,ompHLL,10,.226307,.271186
mhd4800a,ompCSR,10,2.459443,2.441591
